,location,total_sqft,bath,price,bhk
0,1st Block Jayanagar,2850.0,4.0,428.0,4.0
1,1st Block Jayanagar,1630.0,3.0,194.0,3.0
2,1st Block Jayanagar,1875.0,2.0,235.0,3.0
3,1st Block Jayanagar,2400.0,4.0,450.0,4.0
4,1st Block Jayanagar,1000.0,3.0,60.0,2.0
5,1st Block Jayanagar,1200.0,2.0,130.0,3.0
6,1st Block Jayanagar,1235.0,2.0,148.0,2.0
7,1st Block Jayanagar,2750.0,4.0,413.0,4.0
8,1st Block Jayanagar,1760.0,3.0,115.0,3.0
9,1st Block Jayanagar,2450.0,4.0,368.0,4.0
11,1st Phase JP Nagar,1875.0,3.0,167.0,3.0
12,1st Phase JP Nagar,1500.0,5.0,85.0,5.0
13,1st Phase JP Nagar,2065.0,4.0,210.0,3.0
15,1st Phase JP Nagar,2059.0,3.0,225.0,3.0
16,1st Phase JP Nagar,1394.0,2.0,100.0,2.0
17,1st Phase JP Nagar,1077.0,2.0,93.0,2.0
18,1st Phase JP Nagar,1566.0,2.0,180.0,2.0
19,1st Phase JP Nagar,840.0,2.0,50.0,1.0
20,1st Phase JP Nagar,1590.0,3.0,131.0,3.0
21,1st Phase JP Nagar,2180.0,3.0,210.0,3.0
22,1st Phase JP Nagar,1180.0,2.0,88.5,2.0
23,1st Phase JP Nagar,2200.0,7.0,350.0,5.0
24,1st Phase JP Nagar,1200.0,2.0,86.0,2.0
25,1st Phase JP Nagar,1394.0,2.0,85.0,2.0
26,1st Phase JP Nagar,2077.0,3.0,175.0,3.0
28,1st Phase JP Nagar,1205.0,2.0,85.0,2.0
30,1st Phase JP Nagar,900.0,2.0,75.0,2.0
31,2nd Phase Judicial Layout,1450.0,2.0,50.75,3.0
32,2nd Phase Judicial Layout,1150.0,2.0,40.25,2.0
33,2nd Phase Judicial Layout,525.0,1.0,26.0,1.0
34,2nd Phase Judicial Layout,1300.0,3.0,64.0,3.0
35,2nd Phase Judicial Layout,1350.0,2.0,47.25,3.0
36,2nd Phase Judicial Layout,1350.0,2.0,47.25,3.0
37,2nd Phase Judicial Layout,700.0,2.0,35.0,2.0
38,2nd Phase Judicial Layout,900.0,2.0,41.0,2.0
39,2nd Phase Judicial Layout,1681.0,3.0,69.0,3.0
40,2nd Phase Judicial Layout,1350.0,2.0,47.25,3.0
41,2nd Phase Judicial Layout,1150.0,2.0,40.25,2.0
42,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4.0
43,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6.0
44,2nd Stage Nagarbhavi,2400.0,8.0,450.0,6.0
45,2nd Stage Nagarbhavi,1200.0,4.0,245.0,4.0
46,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4.0
47,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4.0
48,2nd Stage Nagarbhavi,3000.0,3.0,170.0,4.0
